common_name,botanical_name,plant_url
Mexican Flannelbush,Fremontodendron mexicanum,//legacy.calscape.org/qrcodes/Fremontodendron-mexicanum(192)
Del Norte County Iris,Iris innominata,//legacy.calscape.org/qrcodes/Iris-innominata(192)
Gumweed,Grindelia stricta var. platyphylla,//legacy.calscape.org/qrcodes/Grindelia-stricta-var.-platyphylla(192)
Cleveland Sage,Salvia clevelandii,//legacy.calscape.org/qrcodes/Salvia-clevelandii(192)
White Coast Ceanothus,Ceanothus verrucosus,//legacy.calscape.org/qrcodes/Ceanothus-verrucosus(192)
Pajaro Manzanita,Arctostaphylos pajaroensis,//legacy.calscape.org/qrcodes/Arctostaphylos-pajaroensis(192)
Coulter's Matilija Poppy,Romneya coulteri,//legacy.calscape.org/qrcodes/Romneya-coulteri(192)
Deerbrush,Ceanothus integerrimus,//legacy.calscape.org/qrcodes/Ceanothus-integerrimus(192)
Island Alum Root,Heuchera maxima,//legacy.calscape.org/qrcodes/Heuchera-maxima(192)
Mountain Mahogany,Cercocarpus betuloides,//legacy.calscape.org/qrcodes/Cercocarpus-betuloides(192)
Island Ceanothus,Ceanothus arboreus,//legacy.calscape.org/qrcodes/Ceanothus-arboreus(192)
Early Onion,Allium praecox,//legacy.calscape.org/qrcodes/Allium-praecox(192)
Eastwood Manzanita,Arctostaphylos glandulosa,//legacy.calscape.org/qrcodes/Arctostaphylos-glandulosa(192)
Big Saltbush,Atriplex lentiformis,//legacy.calscape.org/qrcodes/Atriplex-lentiformis(192)
Coyote Bush,Baccharis pilularis,//legacy.calscape.org/qrcodes/Baccharis-pilularis(192)
Black Sage,Salvia mellifera,//legacy.calscape.org/qrcodes/Salvia-mellifera(192)
Big Leaf Maple,Acer macrophyllum,//legacy.calscape.org/qrcodes/Acer-macrophyllum(192)
Vine Hill Manzanita,Arctostaphylos densiflora,//legacy.calscape.org/qrcodes/Arctostaphylos-densiflora(192)
